# BUSCO version is: 5.8.0 
# The lineage dataset is: saccharomycetes_odb10 (Creation date: 2020-08-05, number of genomes: 76, number of BUSCOs: 2137)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
695at4891	Complete	h2tg000006l_path	632083	628733	-	1649.3	889	https://www.orthodb.org/v10?query=695at4891	Carbamoyl-phosphate synthase arginine-specific large chain
707at4891	Complete	h2tg000004l_path	687016	682125	-	261.1	273	https://www.orthodb.org/v10?query=707at4891	Separin
721at4891	Complete	h2tg000014l_path	58836	62888	+	1180.4	804	https://www.orthodb.org/v10?query=721at4891	DNA-directed RNA polymerase
722at4891	Complete	h2tg000016l_path	500402	495463	-	936.4	948	https://www.orthodb.org/v10?query=722at4891	Acetyl-CoA synthetase-like protein
730at4891	Complete	h2tg000013l_path	276799	280089	+	1461.9	845	https://www.orthodb.org/v10?query=730at4891	DNA polymerase
746at4891	Complete	h2tg000008l_path	928498	931803	+	1340.7	742	https://www.orthodb.org/v10?query=746at4891	Inositol hexakisphosphate and diphosphoinositol-pentakisphosphate kinase
751at4891	Complete	h2tg000001l_path	84252	81035	-	1643.6	923	https://www.orthodb.org/v10?query=751at4891	Aminoacyl-tRNA synthetase, class Ia
811at4891	Complete	h2tg000016l_path	941394	938146	-	1198.3	753	https://www.orthodb.org/v10?query=811at4891	DNA polymerase gamma
845at4891	Complete	h2tg000008l_path	883769	879774	-	1323.4	995	https://www.orthodb.org/v10?query=845at4891	Elongator complex protein 1
863at4891	Complete	h2tg000005l_path	122681	125719	+	1628.7	851	https://www.orthodb.org/v10?query=863at4891	2-oxoglutarate dehydrogenase E1 component
869at4891	Fragmented	h2tg000011l_path	122885	125314	+	1358.1	678	https://www.orthodb.org/v10?query=869at4891	ABC transporter, conserved site
960at4891	Complete	h2tg000010l_path	606058	609189	+	1723.0	888	https://www.orthodb.org/v10?query=960at4891	Elongation factor 3
962at4891	Complete	h2tg000016l_path	947002	944332	-	1236.8	747	https://www.orthodb.org/v10?query=962at4891	Alanine--tRNA ligase
982at4891	Complete	h2tg000009l_path	637239	640213	+	1221.2	739	https://www.orthodb.org/v10?query=982at4891	Glycine cleavage system P protein
986at4891	Complete	h2tg000011l_path	404411	398815	-	1754.9	1234	https://www.orthodb.org/v10?query=986at4891	SNF2-related, N-terminal domain
1006at4891	Complete	h2tg000011l_path	545431	548927	+	1271.8	886	https://www.orthodb.org/v10?query=1006at4891	Niemann-Pick C1, N-terminal
1011at4891	Complete	h2tg000010l_path	457577	461818	+	1611.3	951	https://www.orthodb.org/v10?query=1011at4891	DNA topoisomerase 2
1037at4891	Complete	h2tg000010l_path	430590	434357	+	1309.1	891	https://www.orthodb.org/v10?query=1037at4891	DNA polymerase
1038at4891	Complete	h2tg000016l_path	556416	552865	-	612.3	621	https://www.orthodb.org/v10?query=1038at4891	Ubiquitin specific protease, conserved site
1088at4891	Complete	h2tg000013l_path	1039682	1042861	+	1193.5	824	https://www.orthodb.org/v10?query=1088at4891	P-loop containing nucleoside triphosphate hydrolase protein
1099at4891	Complete	h2tg000004l_path	210808	214026	+	1013.2	725	https://www.orthodb.org/v10?query=1099at4891	Alpha-mannosidase
1120at4891	Missing
1180at4891	Complete	h2tg000011l_path	530500	534184	+	1239.1	952	https://www.orthodb.org/v10?query=1180at4891	Uncharacterised domain NUC173
1186at4891	Missing
1220at4891	Complete	h2tg000013l_path	1029983	1025025	-	1508.8	1198	https://www.orthodb.org/v10?query=1220at4891	Serine/threonine-protein kinase
1221at4891	Complete	h2tg000004l_path	99038	102118	+	1053.9	734	https://www.orthodb.org/v10?query=1221at4891	FACT complex subunit SPT16
1226at4891	Complete	h2tg000003l_path	382156	378828	-	1256.0	938	https://www.orthodb.org/v10?query=1226at4891	binding
1228at4891	Fragmented	h2tg000002l_path	184239	185987	+	660.9	400	https://www.orthodb.org/v10?query=1228at4891	WD40-repeat-containing domain
1240at4891	Complete	h2tg000013l_path	1349856	1345656	-	416.4	596	https://www.orthodb.org/v10?query=1240at4891	Mediator of RNA polymerase II transcription subunit 13
1243at4891	Complete	h2tg000008l_path	678136	674609	-	1123.3	823	https://www.orthodb.org/v10?query=1243at4891	Condensin complex subunit 1
1266at4891	Complete	h2tg000013l_path	73828	70616	-	1113.3	793	https://www.orthodb.org/v10?query=1266at4891	NAD-specific glutamate dehydrogenase
1283at4891	Fragmented	h2tg000013l_path	739963	737036	-	576.2	558	https://www.orthodb.org/v10?query=1283at4891	Protein dopey
